"Path","ImportsAndroidLog","HasLogCalls","HasFileLogger","LogCalls","FileLoggerCalls"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/proxy/LocalHttpProxyServer.java","True","True","False","13","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/proxy/ProxyLogDeduper.java","True","True","False","2","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/proxy/ProxyRuntimeManager.java","True","True","False","12","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/repository/ApiRepository.java","False","True","True","2","20"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/repository/MapRepository.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/repository/ThingsRepository.java","True","True","False","3","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/service/AutoModeForegroundService.java","True","True","False","36","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/SettingsActivity.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/ui/AutoBoiSettingsFragment.java","False","True","False","1","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/ui/Navigator.java","False","True","False","1","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/ui/ProfilesActivity.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/ui/QuickActionsBottomSheet.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/ui/QuickButtonsPanel.java","True","True","True","21","3"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/ui/viewmodel/FightViewModel.java","True","True","True","29","29"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/AppConsts.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/AppVars.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/AutoAnswerMachine.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/Chat.java","True","True","True","10","6"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/ChatFilter.java","False","True","True","1","1"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/ChatStats.java","True","True","False","6","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/ConverterUtils.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/CryptoUtils.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/DataManager.java","True","True","False","8","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/EventSounds.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/ExtMap.java","False","True","False","22","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/FightAnnounceHandler.java","True","True","True","6","8"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/FileLogger.java","True","True","False","14","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/ForcedActionGuard.java","True","True","False","4","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/GearParser.java","True","True","True","4","2"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/HelperStrings.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/HtmlUtils.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/InventoryParser.java","True","True","True","7","2"
